ra,dec,OBJECT_ID,parallax,parallax_error,Mag_G,Mag_J,Mag_H,Mag_K,Mag_I1,Mag_I2,Mag_I3,Mag_I4,Mag_M1,Mag_M2,Mag_W1,Mag_W2,Mag_W3,Mag_W4
100.20756023015842,9.91880783311843,3326928710259976064,0.512402763353058,0.65164983,8.50617902899701,4.37073795099701,3.4314696739970105,2.9275991409970095,6.094438847997009,6.085598821997011,5.64038363699701,4.953623742997009,-2.46122052900299,-9.582700205002991,4.31850358799701,4.23961722899701,2.60255854899701,0.6478641219970094
100.21223832461916,9.909132488944886,3326741037367624704,0.3231216783179816,0.15499288,5.502781192627829,1.7985111146278294,0.7372428376278284,0.32937230462782907,3.6093140116278284,3.528734985627829,3.517195800627828,3.654619906627828,-4.9454654653721715,-10.296061741372172,3.3850017516278283,3.3164193926278296,0.09156071262782838,-1.4507267143721705
100.18484631773433,9.922021878115366,3326928740324113152,0.4251013779607784,0.15860283,6.048395276647568,1.8761431986475694,0.6648749216475698,0.2150043886475689,3.6871640956475704,3.609415069647569,3.535751884647569,3.3834209906475694,-4.209355381352431,-7.072868657352431,1.7834848356475694,1.7664454766475692,0.5406607966475703,-0.2584026303524308
100.17828427500784,9.940468031724876,3326929049563590144,0.2317130495955624,0.5501389,6.524672178189707,3.2274331001897076,2.335164823189707,1.8022942901897079,5.476103997189708,5.4005199711897065,5.7989127861897085,7.055123892189708,-3.5384921798102926,-9.335773955810293,4.791204737189708,4.510014378189708,0.24560069818970676,-0.5236487288102925
100.17891112087791,9.961591374664716,3326929908556996480,0.5042524497676985,0.40912697,7.978237796933275,5.494920718933277,4.351652441933277,3.773781908933276,7.736900615933277,7.715647589933277,6.676944404933275,6.178610510933278,-4.473905561066724,-5.291974437066725,7.519680355933278,7.319695996933276,0.9949743169332754,-0.6648831100667241
100.17158192371784,9.932550124085214,3326928946488943744,1.501576594109766,1.8677024,11.384007163409962,7.681418085409963,6.412149808409962,5.826279275409962,9.341097982409964,9.368386956409962,8.892236771409964,9.017472877409963,6.406619105409963,-7.259990770590037,8.996775722409962,12.332325363409963,4.993637683409963,3.7440312564099623
100.21202836056844,9.871187757740804,3326717260431680896,0.2841323253822287,0.5741662,6.9618319413913845,3.3962838633913828,2.5460155863913836,2.1891450533913828,5.590081760391382,5.496133734391383,4.935119549391382,2.933478655391384,-5.532198116608615,-11.654125592608617,2.117176500391383,2.0103601413913834,-1.1185215386086165,-2.1363399656086175
100.16549295271948,9.931997244523831,3326929015203768960,1.0932701036310124,0.56194204,9.827933073638967,7.058317995638967,6.060049718638966,4.973179185638966,7.923950892638968,7.4235188666389655,7.137777681638967,7.0716327876389675,-1.7120547843610332,-6.903611360361034,6.989608632638965,6.248920273638968,5.9958635936389655,2.475570166638966
100.31870373219864,9.960424890683642,3326742922859280768,3.0904616244953727,1.164263,11.7694404887606,7.800797410760601,6.7015291337606,6.352658600760599,9.7499993077606,9.687264281760601,9.5716820967606,10.098169202760598,1.9850002307605994,-3.3087149452393994,14.8097750477606,10.7809386887606,8.3828310087606,6.242337581760601
100.1683600292063,9.91424571990362,3326905478783068800,0.0118250015006343,0.40877306,-0.3590742643832456,-3.8993133423832473,-4.992581619383246,-5.379452152383247,-2.2509344453832463,-2.315957471383249,-2.172661656383246,1.3606134496167523,-11.550886822383248,-15.70817759838325,-2.8059617053832477,-2.907895064383248,-4.637127744383248,-6.796262171383247
100.29594337933588,9.874876543148192,3326740006575454080,0.8776677060508782,0.2622897,8.12580330651517,2.552331228515169,0.7960629515151696,-0.06080758148483132,3.1770601255151685,2.9651970995151684,2.854054914515169,2.9712310205151686,-0.4915096514848311,-8.342236127484831,2.1423078655151686,2.0333095065151694,3.534736826515168,2.5768863995151685
100.20979848396296,9.844157480808803,3326717049977363712,0.988839119301706,0.23310411,8.618189908685713,5.302308830685713,4.783040553685714,4.367170020685713,7.628549727685715,7.529381701685714,6.488607516685715,6.815478622685714,-0.024629149314286242,-9.590458505314286,4.986796467685713,5.118601108685714,4.489588428685714,1.4229770016857135
100.21151665076874,9.840344097179864,3326717049977363200,0.2303091957597339,0.08248169,3.472942106858909,-1.0137629711410918,-2.322031248141093,-2.984901781141093,0.5462639258589068,0.24899489985890816,0.1706497148589072,0.38377482085890763,-7.176556151141092,-12.950673107141094,-0.9355693341410918,-1.042527693141092,-2.346272373141092,-3.826020600141093
100.35799555787683,9.956862190600868,3326742235664512000,0.8402709865110922,0.43582222,8.696766553828915,5.3557774758289165,4.482509198828916,4.335638665828916,8.597271372828919,8.682082346828919,8.597761161828918,8.502801267828916,-0.5614496041710826,-6.100999680171083,5.007666112828917,5.014938753828917,4.590241073828917,2.019241646828916
100.3580093893485,9.9618918621864,3326742991580277504,0.2945675037279814,0.8527244,7.3406938849687045,3.855604806968704,2.931336529968705,2.223465996968705,5.815901703968703,5.697030677968706,5.766333492968704,5.285095598968705,-3.2572839730312957,-8.560402149031296,5.895454443968705,6.002804084968704,2.1021804049687045,0.37389497796870436
