ra,dec,OBJECT_ID,parallax,parallax_error,phot_g_mean_mag
100.23972383427731,9.9379171285549,3326929221360458752,1.8075015268542105,0.43869746,19.214062
100.24504176413072,9.948207756521557,3326929221360458880,0.2657989852122694,0.14811336,18.014084
100.23976828825948,9.951104305713391,3326929221360456192,0.5409528637339178,0.48984063,19.649569
100.2350395056103,9.952334701654188,3326929290086328576,1.3734013657471695,0.9021235,20.103447
100.22714251257824,9.93569954734864,3326928847700236288,0.1524892365590185,0.06664884,16.271015
100.22134089222936,9.937835702779262,3326928847698918656,0.1731620365765167,0.87136567,20.315525
100.24791537141267,9.961375650145866,3326929328736569088,0.490340389052543,0.22190504,18.763025
100.26476439324932,9.925573337636688,3326741479751304960,0.2847188686568789,0.66071725,19.800953
100.24062266959808,9.971161823290078,3326929324446067328,0.6895041589311255,0.4780552,19.231804
100.20995492641369,9.949982274767327,3326929122576825088,2.325561537379594,0.93379325,20.215103
100.21341894556994,9.923145486424428,3326928813339187584,0.5546796344912585,0.5613622,19.961437
100.27693117746304,9.918846403465608,3326741273597400704,1.9671231722290508,1.0974221,20.031404
100.20756023015842,9.91880783311843,3326928710259976064,0.512402763353058,0.65164983,20.090336
100.21505729037771,9.971947945488566,3326929564957841152,0.8443086351466221,0.32635227,19.099258
100.23286118340336,9.98114802096477,3326929637974213248,1.0035095870471809,0.9670272,20.085382
100.2157560155469,9.973299014150363,3326929564964235136,0.6795357455682147,0.9215804,20.034073
100.19951245758683,9.94687360687672,3326929088217090560,0.2221091196785587,0.45405987,19.48066
100.21286265605978,9.90937458122472,3326741033074751104,2.255494289701306,0.46725288,19.693604
100.21223832461916,9.909132488944886,3326741037367624704,0.3231216783179816,0.15499288,18.088165
100.22750008077344,9.982934577457444,3326929706693690752,0.9971887891356048,0.45998913,19.543541
100.23589927140236,9.896372712790065,3326740968649524480,0.9393738539863856,0.23266125,18.784128
100.25327789656764,9.89617962136054,3326740865568917120,0.6321115871568265,0.24906227,18.242752
100.22842209773944,9.89657628295106,3326740968648147456,1.787672996893074,0.43107736,19.465715
100.19480838891972,9.947606804258784,3326929083921502336,0.2056375356598294,0.2820201,19.094334
100.20918585147562,9.975448939282984,3326929564957826944,0.3148267009727449,0.14696927,17.81248
100.22572904784782,9.988268202540828,3326929702396781568,0.4918096619812958,0.14975753,17.803642
100.27136383417512,9.896689217618034,3326740831211240960,1.6273209330890153,0.4380874,19.504713
100.20378285864676,9.977391525149631,3326929569253418368,2.2311937442257075,2.3684952,20.656992
