_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
100.26021000	+09.87361100	100.260210	+09.873611	06410245+0952249	14.167	0.026	13.516	0.023	13.274	0.030	AAA	222	111	000	0	0
100.26087100	+09.85073100	100.260871	+09.850731	06410260+0951026	14.203	0.033	13.658	0.044	13.375	0.042	AAA	222	111	000	0	0
100.26112200	+09.84247500	100.261122	+09.842475	06410266+0950329	15.189	0.047	14.632	0.049	14.284	0.085	AAA	222	111	000	0	0
100.25932700	+09.86267800	100.259327	+09.862678	06410223+0951456	14.638	0.050	14.116	0.063	13.781	0.084	AAA	222	111	ccc	0	0
100.26295600	+09.87187000	100.262956	+09.871870	06410310+0952187	16.954	0.202	15.869	0.148	15.009	0.135	DBB	222	111	c00	0	0
100.25918600	+09.86443100	100.259186	+09.864431	06410220+0951519	11.202	0.024	10.775	0.027	10.618	0.025	AAA	222	111	000	0	0
100.25324500	+09.85620300	100.253245	+09.856203	06410077+0951223	12.191	0.026	11.596	0.026	11.404	0.030	AAA	222	111	000	0	0
100.26871900	+09.87021400	100.268719	+09.870214	06410449+0952127	14.938	0.040	14.382	0.045	14.167	0.067	AAA	222	111	000	0	0
100.26740800	+09.86722500	100.267408	+09.867225	06410417+0952020	12.772	0.029	12.149	0.033	11.946	0.033	AAA	222	111	000	0	0
100.26849500	+09.85724700	100.268495	+09.857247	06410443+0951260	12.488	0.023	11.881	0.024	11.713	0.030	AAA	222	111	000	0	0
100.25337300	+09.86876700	100.253373	+09.868767	06410080+0952075	14.031	0.022	13.119	0.023	12.632	0.027	AAA	222	111	000	0	0
100.25688600	+09.87054500	100.256886	+09.870545	06410165+0952139	17.088	0.250	15.973	0.163	15.357	0.191	DCC	222	111	c00	0	0
100.26836900	+09.86391900	100.268369	+09.863919	06410440+0951501	10.737	0.023	10.300	0.024	10.145	0.027	AAA	222	111	000	0	0
100.26049500	+09.87603100	100.260495	+09.876031	06410251+0952337	16.834	0.205	15.185	0.071	14.536	0.100	CAA	222	111	ccc	0	0
100.29592800	+09.87486000	100.295928	+09.874860	06411102+0952294	12.881	0.024	11.108	0.026	10.241	0.027	AAA	222	111	000	0	0
100.27430400	+09.87071000	100.274304	+09.870710	06410583+0952145	16.674	0.150	15.348	0.085	14.654	0.097	CAA	222	111	000	0	0
100.27013200	+09.87373500	100.270132	+09.873735	06410483+0952254	15.115	0.044	14.510	0.044	14.281	0.080	AAA	222	111	000	0	0
100.28831600	+09.86586600	100.288316	+09.865866	06410919+0951571	15.233	0.061	14.497	0.062	14.152	0.095	AAA	222	111	ccc	0	0
100.29033200	+09.88669900	100.290332	+09.886699	06410967+0953121	14.797	0.039	12.771	0.024	11.788	0.025	AAA	222	111	c00	0	0
100.28832200	+09.88376100	100.288322	+09.883761	06410919+0953015	13.628	0.046	12.953	0.056	12.710	0.030	AAA	222	111	000	0	0
100.28689800	+09.88364700	100.286898	+09.883647	06410885+0953011	14.066	0.032	13.228	0.030	12.764	0.072	AAA	222	111	c00	0	0
100.27421500	+09.87996300	100.274215	+09.879963	06410581+0952478	12.994	0.023	12.292	0.024	12.066	0.025	AAA	222	111	000	0	0
100.29325000	+09.88384900	100.293250	+09.883849	06411038+0953018	9.877	0.023	9.868	0.023	9.808	0.022	AAA	222	111	000	0	0
100.29300300	+09.88602400	100.293003	+09.886024	06411032+0953096	15.055		15.172		14.660	0.612	UUD	2	1	00c	0	0
100.29682700	+09.88213300	100.296827	+09.882133	06411123+0952556	10.167	0.026	10.221	0.026	10.225	0.026	AAA	222	111	000	0	0
100.30343000	+09.87871400	100.303430	+09.878714	06411282+0952433	12.912	0.028	12.262	0.026	12.089	0.032	AAA	222	111	000	0	0
100.31883100	+09.87033100	100.318831	+09.870331	06411651+0952131	11.676	0.024	11.422	0.027	11.364	0.026	AAA	222	111	000	0	0
100.33457200	+09.87459800	100.334572	+09.874598	06412029+0952285	15.530	0.068	14.716	0.063	14.235	0.076	AAA	222	111	000	0	0
100.31190900	+09.87620600	100.311909	+09.876206	06411485+0952343	16.772	0.200	15.931	0.163	15.477		CCU	220	110	000	0	0
100.33949500	+09.88377900	100.339495	+09.883779	06412147+0953016	15.987	0.106	15.378	0.103	15.185	0.183	AAC	222	111	000	0	0
100.32642400	+09.88112600	100.326424	+09.881126	06411834+0952520	17.042	0.249	15.243	0.089	14.741	0.110	DAB	222	111	ccc	0	0
100.32467000	+09.88171800	100.324670	+09.881718	06411792+0952541	14.585	0.044	13.221	0.036	12.581	0.027	AAA	222	111	000	0	0
100.32124700	+09.87792300	100.321247	+09.877923	06411709+0952405	14.065	0.029	13.348	0.030	13.211	0.034	AAA	222	111	000	0	0
100.35419400	+09.90699300	100.354194	+09.906993	06412500+0954251	17.086	0.234	15.702	0.138	15.052		DBU	220	110	000	0	0
100.34810300	+09.91268700	100.348103	+09.912687	06412354+0954456	16.933	0.214	15.785	0.132	15.703	0.260	DBD	222	111	000	0	0
100.34428800	+09.89710100	100.344288	+09.897101	06412262+0953495	13.607	0.024	13.013	0.024	12.797	0.027	AAA	222	111	000	0	0
100.34225200	+09.88948800	100.342252	+09.889488	06412214+0953221	16.514	0.164	15.507	0.108	14.847	0.145	CAB	222	111	000	0	0
100.34389300	+09.89977300	100.343893	+09.899773	06412253+0953591	16.727	0.213	16.270	0.200	15.389	0.196	CCC	222	111	cc0	0	0
100.33793000	+09.89116000	100.337930	+09.891160	06412110+0953281	14.085	0.029	13.542	0.036	13.278	0.043	AAA	222	111	000	0	0
100.33086600	+09.89693700	100.330866	+09.896937	06411940+0953489	15.529	0.062	14.534	0.041	14.075	0.061	AAA	222	111	000	0	0
100.35085500	+09.89526500	100.350855	+09.895265	06412420+0953429	14.636	0.040	14.091	0.040	13.718	0.045	AAA	222	111	000	0	0
100.28604500	+09.89630000	100.286045	+09.896300	06410865+0953466	15.650	0.095	15.263	0.089	14.804	0.123	AAB	222	111	sss	0	0
100.29562500	+09.90461900	100.295625	+09.904619	06411095+0954166	13.836	0.032	13.369	0.030	13.320	0.045	AAA	222	111	000	0	0
100.29521000	+09.88840500	100.295210	+09.888405	06411085+0953182	13.675	0.026	13.180	0.026	12.825	0.037	AAA	222	111	000	0	0
100.30960800	+09.90125600	100.309608	+09.901256	06411430+0954045	14.756	0.044	14.157	0.037	13.932	0.057	AAA	222	111	000	0	0
100.29771300	+09.89405500	100.297713	+09.894055	06411145+0953385	13.179	0.026	11.955	0.029	11.321	0.027	AAA	222	111	000	0	0
100.30887500	+09.89917800	100.308875	+09.899178	06411413+0953570	16.313	0.144	15.193	0.073	14.646	0.089	BAA	222	111	000	0	0
100.32199000	+09.89600900	100.321990	+09.896009	06411727+0953456	15.276	0.060	14.066	0.040	13.485	0.042	AAA	222	111	c00	0	0
100.32145200	+09.89439200	100.321452	+09.894392	06411714+0953398	14.254	0.044	13.532	0.043	13.330	0.042	AAA	222	111	000	0	0
100.34419200	+09.91217900	100.344192	+09.912179	06412260+0954438	16.597	0.185	15.869	0.148	15.395	0.209	CBC	222	111	ccc	0	0
100.34288300	+09.91444900	100.342883	+09.914449	06412229+0954520	13.482	0.026	12.373	0.027	11.929	0.024	AAA	222	111	000	0	0
100.33677000	+09.92353800	100.336770	+09.923538	06412082+0955247	15.576	0.075	14.614	0.051	13.970	0.066	AAA	222	111	000	0	0
100.32945500	+09.91826200	100.329455	+09.918262	06411906+0955057	16.596	0.176	15.740	0.138	15.371		CBU	220	110	000	0	0
100.33597500	+09.90693500	100.335975	+09.906935	06412063+0954249	15.255	0.061	14.557	0.058	14.135	0.075	AAA	222	111	000	0	0
100.32760900	+09.90207300	100.327609	+09.902073	06411862+0954074	15.993	0.104	15.530	0.111	15.109	0.165	ABC	222	111	000	0	0
100.31387300	+09.91413900	100.313873	+09.914139	06411532+0954509	14.187	0.036	13.581	0.027	13.373	0.043	AAA	222	111	000	0	0
100.32380900	+09.92389300	100.323809	+09.923893	06411771+0955260	16.598		15.876	0.139	14.931	0.162	UBC	22	11	000	0	0
100.31718100	+09.90906200	100.317181	+09.909062	06411612+0954326	16.335	0.147	15.395	0.093	15.394	0.197	BAC	222	111	000	0	0
100.32070800	+09.91190600	100.320708	+09.911906	06411696+0954428	15.747	0.103	15.002	0.076	14.549	0.095	AAA	222	111	000	0	0
100.32188700	+09.90899300	100.321887	+09.908993	06411725+0954323	12.833	0.024	12.045	0.027	11.552	0.024	AAA	222	111	000	0	0
100.32334300	+09.90659300	100.323343	+09.906593	06411760+0954237	16.689	0.174	15.825	0.148	15.197	0.175	CBC	222	111	ccc	0	0
100.31579500	+09.92404800	100.315795	+09.924048	06411579+0955265	15.021	0.052	13.204	0.032	12.379	0.030	AAA	222	111	000	0	0
100.23559000	+09.87088100	100.235590	+09.870881	06405654+0952151	16.694		15.831	0.143	14.923	0.126	UBB	22	12	0cc	0	0
100.23683100	+09.86573400	100.236831	+09.865734	06405683+0951566	14.022	0.029	13.302	0.023	13.010	0.038	AAA	222	111	000	0	0
100.23065100	+09.87109000	100.230651	+09.871090	06405535+0952159	14.165	0.046	13.583	0.052	13.249	0.053	AAA	222	111	000	0	0
100.23569500	+09.87196200	100.235695	+09.871962	06405656+0952190	16.418		15.635	0.128	14.600	0.107	UBA	622	12	00c	0	0
100.23174700	+09.87015600	100.231747	+09.870156	06405561+0952125	15.056	0.046	14.488	0.052	14.218	0.072	AAA	222	111	ccc	0	0
100.22762500	+09.87368700	100.227625	+09.873687	06405463+0952252	15.673	0.076	14.528	0.048	13.926	0.064	AAA	222	111	000	0	0
100.22545400	+09.87348600	100.225454	+09.873486	06405410+0952245	15.336	0.067	14.883	0.064	14.334	0.084	AAA	222	111	000	0	0
100.25013900	+09.87163700	100.250139	+09.871637	06410003+0952178	9.998	0.024	10.001	0.032	9.943	0.030	AAA	222	111	000	0	0
100.25109500	+09.87084800	100.251095	+09.870848	06410026+0952150	11.019		12.420	0.046	12.189	0.043	UAA	22	11	0cc	0	0
100.24679800	+09.88552600	100.246798	+09.885526	06405923+0953078	12.354	0.023	11.678	0.029	11.453	0.027	AAA	222	111	000	0	0
100.22867600	+09.88677000	100.228676	+09.886770	06405488+0953123	13.918	0.030	13.086	0.032	12.397	0.034	AAA	222	111	000	0	0
100.24261400	+09.87526500	100.242614	+09.875265	06405822+0952309	16.391	0.153	15.778	0.128	15.047	0.159	BBC	222	111	ccc	0	0
100.23036000	+09.88042000	100.230360	+09.880420	06405528+0952495	17.083	0.244	15.911	0.148	14.996		DBU	220	110	c00	0	0
100.24224400	+09.87651800	100.242244	+09.876518	06405813+0952354	15.065	0.053	14.365	0.056	14.283	0.090	AAA	222	111	00c	0	0
100.25783900	+09.88001400	100.257839	+09.880014	06410188+0952480	9.254	0.040	9.230	0.043	9.204	0.043	AEA	222	212	c0c	0	0
100.25299800	+09.88231500	100.252998	+09.882315	06410071+0952563	16.894	0.211	15.786	0.143	15.387	0.191	DBC	222	111	ccc	0	0
100.25794300	+09.87763100	100.257943	+09.877631	06410190+0952394	14.481	0.070	13.593	0.056	13.180	0.050	AAA	222	111	ccc	0	0
100.24557500	+09.90023600	100.245575	+09.900236	06405893+0954008	10.111	0.026	10.044	0.035	9.950	0.030	AAA	122	111	c00	0	0
100.24894100	+09.90175400	100.248941	+09.901754	06405974+0954063	12.951	0.047	12.278	0.040	12.100	0.038	AEE	222	111	ccc	0	0
100.24442900	+09.89575100	100.244429	+09.895751	06405866+0953447	5.202	0.023	5.322	0.021	5.340	0.021	AAA	111	111	d00	0	0
100.24964300	+09.89911200	100.249643	+09.899112	06405991+0953568	14.189		15.793	0.196	15.511	0.224	UCD	22	11	0cc	0	0
100.27710100	+09.89593200	100.277101	+09.895932	06410650+0953453	14.376	0.036	13.675	0.037	13.447	0.042	AAA	222	111	sss	0	0
100.25179700	+09.90098400	100.251797	+09.900984	06410043+0954035	12.990	0.022	12.331	0.026	12.120	0.021	AAA	222	111	c00	0	0
100.25167600	+09.90279200	100.251676	+09.902792	06410040+0954100	16.112	0.121	15.329	0.088	14.670	0.118	BAB	222	111	ccc	0	0
100.27363000	+09.89577400	100.273630	+09.895774	06410567+0953447	16.576	0.157	15.425	0.110	14.812	0.125	CBB	222	111	ccc	0	0
100.27281800	+09.89468800	100.272818	+09.894688	06410547+0953408	15.680	0.088	15.178	0.105	14.917	0.152	AAB	222	111	ssc	0	0
100.25436600	+09.90836700	100.254366	+09.908367	06410104+0954301	16.258	0.120	15.350	0.084	14.458	0.097	BAA	222	111	cc0	0	0
100.25547900	+09.88496700	100.255479	+09.884967	06410131+0953058	15.890	0.082	14.212	0.030	13.576	0.049	AAA	222	111	c00	0	0
100.27172000	+09.88771900	100.271720	+09.887719	06410521+0953157	12.472	0.022	11.821	0.024	11.641	0.028	AAA	222	111	000	0	0
100.26990300	+09.90619400	100.269903	+09.906194	06410477+0954222	16.334	0.112	15.117	0.063	14.449	0.084	BAA	222	111	c00	0	0
100.25145900	+09.89812800	100.251459	+09.898128	06410035+0953532	13.885	0.029	13.168	0.029	12.945	0.031	AAA	222	111	ccc	0	0
100.26210600	+09.89336100	100.262106	+09.893361	06410290+0953360	13.922	0.029	13.201	0.029	12.996	0.046	AAA	222	111	000	0	0
100.27137400	+09.89658300	100.271374	+09.896583	06410512+0953476	13.828	0.040	12.753	0.035	12.092	0.034	AAA	222	111	sss	0	0
100.26861300	+09.88844100	100.268613	+09.888441	06410446+0953183	12.979	0.028	12.266	0.027	11.981	0.034	AAA	222	111	000	0	0
100.26461500	+09.88461400	100.264615	+09.884614	06410350+0953046	17.614		15.630	0.125	15.041	0.151	UBB	22	11	000	0	0
100.26195700	+09.89798900	100.261957	+09.897989	06410286+0953527	13.779	0.023	13.112	0.026	12.884	0.031	AAA	222	111	000	0	0
100.26056800	+09.87986400	100.260568	+09.879864	06410253+0952475	14.563	0.056	13.990	0.046	13.640	0.060	AAA	222	111	ccc	0	0
100.25860300	+09.88080300	100.258603	+09.880803	06410206+0952508	10.493	0.032	10.440	0.033	10.364	0.035	AAA	222	212	ccc	0	0
100.21273300	+09.90212700	100.212733	+09.902127	06405105+0954076	16.775	0.200	15.922	0.141	15.201	0.173	CBC	222	111	000	0	0
100.20463500	+09.90086500	100.204635	+09.900865	06404911+0954031	14.118	0.023	13.567	0.027	13.278	0.043	AAA	222	111	000	0	0
100.21225900	+09.90913300	100.212259	+09.909133	06405094+0954328	14.297	0.041	13.219	0.035	12.801	0.042	AAA	222	111	000	0	0
100.21161600	+09.90317200	100.211616	+09.903172	06405078+0954114	16.655		15.670	0.144	14.923	0.144	UBB	22	11	0cc	0	0
100.20971600	+09.90440700	100.209716	+09.904407	06405033+0954158	13.028	0.026	12.403	0.024	12.105	0.028	AAA	222	111	000	0	0
100.22093400	+09.88318300	100.220934	+09.883183	06405302+0952594	13.404	0.024	12.673	0.027	12.463	0.027	AAA	222	111	000	0	0
100.21421400	+09.89009400	100.214214	+09.890094	06405141+0953243	14.687	0.044	14.077	0.045	13.881	0.060	AAA	222	111	000	0	0
100.21376300	+09.89132700	100.213763	+09.891327	06405130+0953287	15.350	0.053	14.777	0.059	14.496	0.087	AAA	222	111	ccc	0	0
