_RAJ2000 _DEJ2000 2MASS Jmag Hmag Kmag
100.189333 9.967785 06404543+0958040 15.955 15.272 14.815
100.19051 9.974694 06404572+0958288 14.16 13.558 13.415
100.138858 9.981377 06403332+0958529 13.616 12.888 12.706
100.126564 9.960331 06403037+0957371 16.256 15.604 15.105
100.128325 9.966536 06403079+0957595 15.777 15.105 15.015
100.135367 9.961788 06403248+0957424 15.63 15.079 14.683
100.134648 9.96958 06403231+0958104 16.094 15.279 14.838
100.133126 9.972869 06403195+0958223 14.547 14.125 14.090
100.15209 9.9738 06403650+0958256 16.566 16.101 15.363
100.163679 9.989438 06403928+0959219 13.316 12.857 12.600
100.161676 9.986735 06403880+0959122 16.706 15.742 15.018
100.135841 9.987916 06403260+0959164 16.386 16.061 15.406
100.144671 9.983221 06403472+0958595 16.266 15.48 15.046
100.144684 9.996307 06403472+0959467 14.289 13.711 13.388
100.145736 9.993165 06403497+0959353 16.597 15.928 15.937
100.142102 9.987849 06403410+0959162 15.738 15.117 15.142
100.143192 9.995007 06403436+0959420 16.208 15.666 14.791
100.153785 10.004978 06403690+1000179 16.148 15.478 15.365
100.178599 9.991449 06404286+0959292 16.231 15.739 15.738
100.186737 9.987251 06404481+0959141 16.78 16.16 15.542
100.200679 9.986623 06404816+0959118 15.52 14.88 14.534
100.191728 9.997499 06404601+0959509 15.833 15.475 14.800
100.191139 9.996124 06404587+0959460 12.289 11.492 11.150
100.19355 9.996213 06404645+0959463 13.399 12.72 12.513
100.190397 9.995163 06404569+0959425 13.089 0.071 0.080
100.1945 9.980647 06404668+0958503 16.31 15.744 15.317
100.201671 9.994237 06404840+0959392 14.713 14.132 13.812
100.202855 9.995426 06404868+0959435 15.435 14.827 UUC
100.194898 9.998347 06404677+0959540 15.095 14.666 14.434
100.194814 9.994116 06404675+0959388 14.65 14.132 14.080
100.2161 9.999519 06405186+0959582 16.598 15.762 15.184
100.234123 10.008212 06405618+1000295 16.605 15.579 15.666
100.227487 10.002212 06405459+1000079 16.11 15.342 14.867
100.22671 10.013842 06405441+1000498 15.637 15.026 14.846
100.22354 10.019098 06405364+1001087 16.273 15.816 15.042
100.219236 10.006597 06405261+1000237 16.958 15.858 15.384
100.217131 10.014064 06405211+1000506 15.572 15.118 14.721
100.226366 10.0214 06405432+1001170 15.654 14.857 14.678
100.202187 10.013243 06404852+1000476 16.25 15.62 15.233
100.213983 10.018983 06405135+1001083 16.251 15.495 14.946
100.209572 10.017871 06405029+1001043 13.423 12.751 12.495
100.170096 10.025456 06404082+1001316 15.587 15.104 14.778
100.167623 10.006579 06404022+1000236 13.725 13.241 13.009
100.167435 10.00779 06404018+1000280 15.073 14.558 14.403
100.170979 10.027298 06404103+1001382 15.679 14.866 14.633
100.173679 10.023148 06404168+1001233 15.994 0.127 UBU
100.179704 10.010061 06404312+1000362 16.961 15.964 15.950
100.177861 10.018869 06404268+1001079 16.704 15.716 15.645
100.177778 10.007224 06404266+1000260 16.329 15.638 15.142
100.175687 10.012279 06404216+1000442 15.137 14.657 14.428
100.17551 10.024082 06404212+1001266 16.35 15.801 15.312
100.185475 10.015165 06404451+1000545 15.124 14.542 14.291
100.19433 10.009641 06404663+1000347 15.745 15.311 14.948
100.190976 10.007552 06404583+1000271 14.81 14.426 14.467
100.185413 10.027951 06404449+1001406 14.77 14.333 14.113
100.176681 10.031527 06404240+1001534 13.815 12.573 AUU
100.175379 10.02854 06404209+1001427 14.552 13.895 13.698
100.176162 10.030783 06404227+1001508 14.107 12.702 AUU
100.186513 10.026795 06404476+1001364 14.813 14.185 13.891
100.193371 10.045111 06404640+1002423 15.187 14.617 14.167
100.199753 10.017428 06404794+1001027 15.01 14.658 14.397
100.190725 10.02818 06404577+1001414 16.33 15.769 15.107
100.187677 10.035632 06404504+1002082 15.176 14.573 14.200
100.199952 10.022906 06404798+1001224 13.918 13.349 13.127
100.198199 10.015939 06404756+1000573 14.096 13.46 13.234
100.197646 10.035797 06404743+1002088 16.335 15.539 15.328
100.196535 10.028953 06404716+1001442 15.702 15.244 14.963
100.213173 10.028868 06405116+1001439 8.909 8.971 8.930
100.192455 10.037216 06404618+1002139 16.373 16.07 15.645
100.206736 10.020565 06404961+1001140 16.902 15.962 16.439
100.282942 9.995267 06410790+0959429 16.88 15.167 14.255
100.280268 9.975323 06410726+0958311 12.538 11.869 11.681
100.299728 9.994797 06411193+0959412 14.205 13.516 13.324
100.28733 9.991214 06410895+0959283 15.951 14.637 13.981
100.28874 9.994073 06410929+0959386 9.294 7.623 6.951
100.312047 9.998253 06411489+0959537 15.041 14.653 14.078
100.302949 9.99573 06411270+0959446 12.246 11.067 10.623
100.31396 9.999592 06411535+0959585 16.472 0.088 0.090
100.290709 10.012308 06410977+1000443 16.221 15.188 14.720
100.295353 10.011377 06411088+1000409 11.96 11.751 11.653
100.294624 10.01026 06411070+1000369 15.151 14.402 14.030
100.303558 10.017842 06411285+1001042 16.149 15.108 14.632
100.310153 10.017456 06411443+1001028 16.694 0.171 0.143
100.308986 10.010064 06411415+1000362 15.157 13.124 12.173
100.299847 10.006919 06411196+1000249 15.426 14.909 14.486
100.308338 10.023873 06411400+1001259 16.477 15.462 14.680
100.29933 10.000848 06411183+1000030 16.668 16.048 15.554
100.316159 10.006089 06411587+1000219 15.995 15.181 14.680
100.317569 10.013403 06411621+1000482 15.221 13.9 13.356
100.3198 10.015223 06411675+1000548 15.888 14.468 13.994
100.324888 10.011565 06411797+1000416 16.364 15.371 14.746
100.312734 10.015845 06411505+1000570 16.52 15.237 14.459
100.240989 10.010018 06405783+1000360 16.196 15.443 15.179
100.256381 10.010159 06410153+1000365 12.848 12.197 12.052
100.254878 10.012623 06410117+1000454 16.36 15.245 14.675
100.262026 10.014489 06410288+1000521 16.75 15.634 15.149
100.261899 10.026547 06410285+1001355 16.343 15.611 15.399
100.263958 10.013297 06410334+1000478 15.386 14.712 14.272
100.264888 10.009828 06410357+1000353 13.423 12.809 12.531
100.272648 10.007957 06410543+1000286 14.045 12.71 12.124
100.266637 10.013475 06410399+1000485 16.221 15.034 14.743
100.260342 10.021275 06410248+1001165 16.336 15.336 15.059
100.271598 10.005271 06410518+1000189 13.052 12.449 12.185
100.269055 10.011855 06410457+1000426 13.971 13.353 13.090
100.280888 10.041773 06410741+1002303 15.414 14.956 14.489
100.280419 10.038581 06410730+1002188 15.202 14.718 14.348
100.283756 10.032281 06410810+1001562 14.893 13.993 13.419
100.272916 10.037652 06410549+1002155 14.478 13.605 13.200
100.273402 10.021349 06410561+1001168 15.041 13.93 13.500
100.279348 10.014584 06410704+1000525 16.154 15.64 15.233
100.293597 10.031107 06411046+1001519 11.514 10.379 9.939
100.289006 10.035438 06410936+1002075 16.361 15.334 14.914
100.297849 10.032797 06411148+1001580 15.566 14.944 14.507
100.286625 10.036961 06410879+1002130 15.69 14.975 14.572
100.321672 10.025609 06411720+1001321 14.897 14.106 13.621
100.31326 10.026781 06411518+1001364 11.674 10.465 9.883
100.331074 10.015251 06411945+1000549 15.999 15.03 14.475
100.291405 10.047099 06410993+1002495 14.308 13.153 12.688
100.298293 10.039877 06411159+1002235 11.984 11.392 11.277
100.227296 10.030756 06405455+1001507 10.866 9.983 9.598
100.233401 10.018334 06405601+1001060 14.785 14.031 13.748
100.231288 10.035931 06405550+1002093 16.679 15.621 15.146
100.236165 10.044365 06405667+1002397 16.475 15.748 15.295
100.237575 10.041148 06405701+1002281 15.968 15.308 15.319
100.23733 10.042701 06405695+1002337 14.7 14.069 13.822
100.244312 10.032431 06405863+1001567 15.934 15.457 15.026
100.249121 10.036842 06405978+1002126 14.66 13.816 13.502
100.246842 10.028112 06405924+1001412 16.86 15.785 15.422
100.243268 10.015129 06405838+1000544 16.769 15.976 15.128
100.238069 10.037284 06405713+1002142 18.271 0.147 0.236
100.241584 10.037865 06405798+1002163 15.216 14.746 14.274
100.250343 10.025942 06410008+1001333 16.195 15.044 14.661
100.252532 10.031984 06410060+1001551 15.222 14.319 14.183
100.249435 10.053987 06405986+1003143 16.746 0.15 UCU
100.244715 10.050029 06405873+1003001 16.622 16.173 14.910
100.257463 10.05065 06410179+1003023 15.803 15.088 14.866
100.251553 10.049001 06410037+1002564 14.962 14.331 14.109
100.252738 10.037353 06410065+1002144 14.581 13.993 13.841
100.273091 10.04546 06410554+1002436 15.87 15.222 14.863
100.270685 10.050144 06410496+1003005 15.753 15.165 14.956
100.258708 10.053234 06410208+1003116 14.771 14.098 13.828
100.252287 10.053695 06410054+1003133 14.693 14.066 13.762
100.230435 10.05554 06405530+1003199 16.854 16.494 15.554
100.226398 10.051959 06405433+1003070 16.646 15.808 16.065
100.221524 10.050722 06405316+1003025 15.233 14.488 14.143
100.218544 10.054681 06405245+1003168 16.524 15.635 15.303
100.214093 10.050844 06405138+1003030 14.493 13.827 13.689
100.210729 10.038374 06405057+1002181 16.234 15.415 15.142
100.234847 10.054673 06405636+1003168 16.08 15.533 15.110
100.243725 10.056943 06405849+1003249 14.074 13.392 13.027
100.242269 10.054304 06405814+1003154 14.956 14.179 13.868
100.240131 10.052637 06405763+1003094 15.562 15.203 15.043
100.281989 10.049634 06410767+1002586 15.306 14.8 14.486
100.144863 10.006537 06403476+1000235 15.736 15.038 14.793
100.158778 10.020889 06403810+1001152 16.234 15.925 16.299
100.154004 10.017545 06403696+1001031 15.044 14.776 14.457
100.175434 10.035646 06404210+1002083 15.187 14.571 14.334
