OBJECT_ID,RA,DEC,1_mag_0,1_mag_err_0,DATE-OBS_1_mag_0,2_mag_0,2_mag_err_0,DATE-OBS_2_mag_0,3_mag_0,3_mag_err_0,DATE-OBS_3_mag_0,4_mag_1,4_mag_err_1,DATE-OBS_4_mag_1
3326740315815159296,100.34442226534391,9.896899431334969,16.25495,0.036511845,2008-11-01T22:34:49.428,16.198915,0.041880998,2008-11-01T22:34:49.428,16.18319,0.1104674,2008-11-01T22:34:49.428,16.241533,0.4356592,2008-11-01T22:34:49.428
3326740350172808960,100.3472852837277,9.901937172469975,19.076601,0.16606475,2008-11-01T22:34:49.428,19.011684,0.18677341,2008-11-01T22:34:49.428,18.77881,1.0867277,2008-11-01T22:34:49.428,17.439472,1.3021836,2008-11-01T22:34:49.428
3326739727404329088,100.3128667140561,9.854950458435033,18.185901,0.0978394,2008-11-01T22:34:49.428,18.051684,0.10676108,2008-11-01T22:34:49.428,18.179796,0.63128725,2008-11-01T22:34:49.428,19.282198,7.0837734,2008-11-01T22:34:49.428
3326905135190103296,100.14390257095305,9.888809077168728,16.113807,0.034123819,2008-11-01T22:34:49.428,15.780236,0.034316129,2008-11-01T22:34:49.428,15.230701,0.052212526,2008-11-01T22:34:49.428,14.439164,0.087122143,2008-11-01T22:34:49.428
3326717088630017024,100.1861618053655,9.845478159453826,17.987663,0.087715939,2008-11-01T22:34:49.428,17.874656,0.097016902,2008-11-01T22:34:49.428,17.80979,0.45260615,2008-11-01T22:34:49.428,16.480253,0.54145612,2008-11-01T22:34:49.428
3326717084337102208,100.18588785549893,9.845377525077026,17.986916,0.087680233,2008-11-01T22:34:49.428,17.868904,0.0967187,2008-11-01T22:34:49.428,17.744336,0.42685854,2008-11-01T22:34:49.428,16.403935,0.50507293,2008-11-01T22:34:49.428
3326740139720522880,100.33946708350156,9.883742440780793,18.353275,0.10752208,2008-11-01T22:34:49.428,17.867631,0.09665286,2008-11-01T22:34:49.428,17.663051,0.3969682,2008-11-01T22:34:49.428,17.082926,0.93921107,2008-11-01T22:34:49.428
3326717290495738496,100.17511063307701,9.851287692826665,17.945112,0.085711996,2008-11-01T22:34:49.428,18.325275,0.12428014,2008-11-01T22:34:49.428,16.108675,0.10389775,2008-11-01T22:34:49.428,14.566479,0.097316422,2008-11-01T22:34:49.428
3326930050289782400,100.13096642385926,9.962135728293577,19.852761,0.28037407,2008-11-01T22:34:49.428,19.797517,0.3148706,2008-11-01T22:34:49.428,20.193569,3.9654168,2008-11-01T22:34:49.428,17.749615,1.7309109,2008-11-01T22:34:49.428
3326740139721502336,100.33456463375411,9.87458813718561,17.664238,0.07378172,2008-11-01T22:34:49.428,17.569579,0.082606249,2008-11-01T22:34:49.428,17.553223,0.35997436,2008-11-01T22:34:49.428,17.402111,1.2583222,2008-11-01T22:34:49.428
3326740144014389760,100.33578470058482,9.875981274201257,19.609147,0.23625484,2008-11-01T22:34:49.428,19.484816,0.2538187,2008-11-01T22:34:49.428,19.17419,1.5585305,2008-11-01T22:34:49.428,17.603319,1.513403,2008-11-01T22:34:49.428
3326742029505753088,100.35682898876878,9.926421937955253,17.618983,0.07205025,2008-11-01T22:34:49.428,17.968969,0.10206769,2008-11-01T22:34:49.428,17.961232,0.51847544,2008-11-01T22:34:49.428,18.479328,3.3844279,2008-11-01T22:34:49.428
3326717294790475520,100.17216461184512,9.850642660966168,14.605201,0.016788918,2008-11-01T22:34:49.428,14.26009,0.016863099,2008-11-01T22:34:49.428,13.804101,0.020097453,2008-11-01T22:34:49.428,12.92679,0.025222414,2008-11-01T22:34:49.428
3326742063865509760,100.35827550725062,9.939661072821469,17.833163,0.080698145,2008-11-01T22:34:49.428,17.773431,0.091926117,2008-11-01T22:34:49.428,17.710598,0.41418026,2008-11-01T22:34:49.428,17.739204,1.7144447,2008-11-01T22:34:49.428
3326716298357379200,100.22177887310212,9.828726739942224,17.812471,0.079810491,2008-11-01T22:34:49.428,17.879259,0.097256356,2008-11-01T22:34:49.428,18.379174,0.75599198,2008-11-01T22:34:49.428,15.751054,0.27927183,2008-11-01T22:34:49.428
3326742235664220032,100.35805638502148,9.954219283151659,16.345145,0.038131574,2008-11-01T22:34:49.428,16.282124,0.043585896,2008-11-01T22:34:49.428,16.276664,0.11936424,2008-11-01T22:34:49.428,16.560501,0.58257391,2008-11-01T22:34:49.428
3326739559900928000,100.2803606182207,9.832364346705877,16.164258,0.034957604,2008-11-01T22:34:49.428,16.147037,0.040854299,2008-11-01T22:34:49.428,16.046827,0.09877275,2008-11-01T22:34:49.428,15.848534,0.30499834,2008-11-01T22:34:49.428
3326742235664512000,100.35799555787683,9.956862190600868,18.98344,0.15659888,2008-11-01T22:34:49.428,19.065636,0.19320068,2008-11-01T22:34:49.428,18.979552,1.3048403,2008-11-01T22:34:49.428,18.88297,4.9059493,2008-11-01T22:34:49.428
3326905036401556480,100.1527354664687,9.867546291852134,13.75066,0.011296732,2008-11-01T22:34:49.428,13.041136,0.0095969505,2008-11-01T22:34:49.428,12.498799,0.0097971314,2008-11-01T22:34:49.428,11.559612,0.0098344427,2008-11-01T22:34:49.428
3326740345880413056,100.35417118871503,9.906928204133726,19.010664,0.15929376,2008-11-01T22:34:49.428,18.949251,0.17966552,2008-11-01T22:34:49.428,18.322324,0.71807165,2008-11-01T22:34:49.428,19.367717,7.6638421,2008-11-01T22:34:49.428
3326717084337101824,100.18191392964543,9.842349882508131,16.040483,0.032949653,2008-11-01T22:34:49.428,15.996556,0.038025124,2008-11-01T22:34:49.428,15.827749,0.082764792,2008-11-01T22:34:49.428,15.215028,0.17254733,2008-11-01T22:34:49.428
3326716122264063232,100.24944553395127,9.825786907373814,17.259426,0.059864798,2008-11-01T22:34:49.428,17.216357,0.068948408,2008-11-01T22:34:49.428,17.285947,0.28412189,2008-11-01T22:34:49.428,19.064597,5.7982791,2008-11-01T22:34:49.428
3326742991580277504,100.3580093893485,9.9618918621864,18.478243,0.11553228,2008-11-01T22:34:49.428,18.356757,0.1265156,2008-11-01T22:34:49.428,18.424297,0.78753604,2008-11-01T22:34:49.428,17.941437,2.0643369,2008-11-01T22:34:49.428
3326717359215215872,100.15876672499974,9.859921253376024,17.506711,0.067957709,2008-11-01T22:34:49.428,17.642915,0.085824285,2008-11-01T22:34:49.428,15.585245,0.068369639,2008-11-01T22:34:49.428,13.99996,0.059830535,2008-11-01T22:34:49.428
3326740242799311360,100.35083854281145,9.895258242270456,17.118968,0.055765621,2008-11-01T22:34:49.428,17.033757,0.062916452,2008-11-01T22:34:49.428,16.728739,0.1749377,2008-11-01T22:34:49.428,16.652246,0.63346036,2008-11-01T22:34:49.428
3326930045995661824,100.12652830393077,9.960333399822725,18.877372,0.1466273,2008-11-01T22:34:49.428,18.773975,0.16144102,2008-11-01T22:34:49.428,19.70977,2.5442338,2008-11-01T22:34:49.428,20.671365,25.449996,2008-11-01T22:34:49.428
3326906582588481536,100.1254878691704,9.9547629897156,18.534722,0.11939502,2008-11-01T22:34:49.428,18.504955,0.13773224,2008-11-01T22:34:49.428,18.064096,0.56874937,2008-11-01T22:34:49.428,18.070422,2.3240491,2008-11-01T22:34:49.428
3326739727405063296,100.32664845328506,9.859042393987236,16.098253,0.033871071,2008-11-01T22:34:49.428,16.006332,0.03820245,2008-11-01T22:34:49.428,15.980307,0.093572421,2008-11-01T22:34:49.428,16.405372,0.50573456,2008-11-01T22:34:49.428
3326742995874744704,100.3587403343886,9.96258954873722,18.763447,0.1367852,2008-11-01T22:34:49.428,18.69769,0.15423318,2008-11-01T22:34:49.428,18.8629,1.1732142,2008-11-01T22:34:49.428,18.535446,3.5636644,2008-11-01T22:34:49.428
3326717294790476416,100.16673797439334,9.851280050510564,14.45916,0.015687243,2008-11-01T22:34:49.428,14.44356,0.018361456,2008-11-01T22:34:49.428,14.421702,0.029612506,2008-11-01T22:34:49.428,14.747497,0.11402484,2008-11-01T22:34:49.428
